Brand,Age,Original_Price,Battery_Health,RAM,Storage,Condition_Score,Selling_Price
OnePlus,7,118056,90,16,128,9,11805.6
Realme,3,73167,66,8,128,2,10197.02
Apple,2,62020,60,16,128,4,22659.97
Apple,6,93653,51,6,128,9,18953.11
OnePlus,6,119192,74,16,64,5,11919.2
Redmi,1,20966,100,16,128,4,13379.53
Realme,0,40576,68,12,512,7,28412.93
Poco,7,103539,95,16,512,9,10353.9
Realme,1,103783,65,16,512,1,29876.57
Samsung,3,104898,63,8,128,9,28725.93
Redmi,7,112044,73,16,256,10,11204.4
Google,4,30679,57,6,64,4,3705.08
Samsung,0,19561,62,16,128,6,13542.26
OnePlus,2,79066,66,4,128,7,20180.42
Apple,3,72294,73,6,128,5,26147.66
Samsung,4,92260,91,6,64,10,28084.39
Samsung,1,113453,57,6,64,4,35470.81
Samsung,6,93951,100,8,512,9,20045.2
Redmi,1,117637,51,4,512,9,40406.83
Realme,1,110499,95,12,256,6,58266.51
Google,6,57277,59,8,512,8,6453.8
Redmi,3,15461,60,8,128,2,3768.55
Google,3,22084,79,6,512,10,8551.21
Redmi,4,88488,57,8,64,9,10473.35
OnePlus,0,32693,94,6,128,5,24888.56
OnePlus,7,60135,78,4,64,9,6013.5
Redmi,2,31501,63,6,128,8,9386.3
OnePlus,3,80025,74,8,512,3,14730.87
Redmi,1,94042,86,8,64,10,54489.48
Realme,5,113802,97,6,256,8,14007.39
Redmi,5,103648,61,4,64,2,10364.8
Google,2,53637,50,16,512,10,17090.82
Apple,7,49243,97,6,256,6,14730.07
Realme,7,52375,94,12,512,10,7373.49
Poco,7,92057,51,4,64,2,9205.7
Apple,5,51431,95,4,512,8,22871.28
Poco,5,30116,81,6,512,5,5882.81
Google,6,31924,78,4,64,1,3192.4
Poco,7,39899,59,6,64,7,3989.9
Apple,4,69981,52,16,64,5,17766.9
Redmi,1,30987,78,8,64,1,10560.72
OnePlus,6,90579,69,12,256,3,9057.9
Apple,6,67464,79,16,64,6,19600.62
OnePlus,7,46095,63,16,64,3,4609.5
Redmi,6,100945,57,4,512,10,10094.5
Realme,6,70351,81,8,128,4,7035.1
Samsung,0,79066,78,6,128,5,48093.61
Apple,6,75522,80,12,256,10,26466.47
Realme,7,42313,83,16,512,2,6792.99
Realme,7,63899,86,4,512,7,6389.9
Apple,6,94056,53,4,64,7,17100.67
Redmi,0,104963,52,4,128,8,50562.68
Poco,3,45462,54,6,64,9,7924.81
Samsung,6,64410,62,8,512,5,9490.57
Poco,4,81066,82,4,512,6,12852.84
Google,1,78039,63,16,256,10,36436.97
Realme,7,86278,66,12,128,4,8627.8
OnePlus,0,29952,65,4,64,5,15721.6
Google,2,52751,72,4,256,6,14917.48
Redmi,3,23200,63,16,256,10,8493.92
Samsung,3,97269,97,8,256,3,28752.79
Poco,6,26506,89,16,256,10,6259.16
Samsung,2,22262,78,4,128,1,6812.1
Poco,5,58844,54,4,256,5,5884.4
Redmi,0,75753,86,6,64,1,37351.17
Redmi,6,98239,99,12,64,8,9823.9
Google,0,103712,97,6,128,5,77290.48
Redmi,6,22082,78,16,128,6,4879.21
Samsung,3,69673,57,8,64,5,14485.63
Realme,5,45122,79,16,128,3,6528.41
Poco,3,78898,57,4,256,4,10725.28
Redmi,3,70450,100,12,64,6,18197.86
Google,4,20911,82,8,512,9,7067.81
Apple,2,71900,68,6,256,5,28973.35
OnePlus,6,85699,83,16,256,9,9576.33
Samsung,7,38219,83,4,128,7,5039.19
OnePlus,6,113241,52,4,512,4,11324.1
Realme,3,31991,72,12,64,3,6831.63
Google,6,29867,68,12,256,10,5211.72
Redmi,7,71409,68,16,128,1,7140.9
Poco,5,117911,100,4,256,10,15761.1
Google,2,38899,73,6,256,2,9678.45
OnePlus,7,21938,81,4,256,7,2820.45
Redmi,5,103912,94,12,64,4,10653.38
Samsung,2,109758,78,4,512,2,32253.79
Apple,6,101545,78,16,64,5,25924.12
Samsung,5,105526,83,12,128,10,23824.71
Apple,3,34753,100,8,512,6,21234.15
Poco,6,87588,95,6,64,1,8758.8
Redmi,0,86890,64,8,512,1,34745.28
Samsung,2,67116,70,6,256,5,22300.19
Redmi,0,90142,90,6,256,10,83607.8
OnePlus,2,42270,53,4,64,1,6325.92
Realme,1,58300,85,12,512,3,25896.99
Apple,6,43158,86,4,64,9,14418.32
Apple,2,82283,75,4,128,5,34880.33
Samsung,7,22761,79,12,256,9,5960.19
Samsung,0,53572,98,8,64,1,30795.31
Realme,2,73844,89,6,128,8,26830.47
Redmi,3,81398,81,4,64,6,15605.34
Redmi,2,103205,77,4,512,9,35256.41
Google,7,70379,60,4,64,3,7037.9
Apple,3,54235,89,8,128,7,27436.8
Realme,5,42128,88,4,128,6,4881.2
Apple,5,38561,71,4,256,4,10583.53
Google,2,46139,53,6,512,5,11508.76
Realme,1,98639,62,16,256,8,40256.37
Google,0,89630,70,12,256,7,57009.85
Samsung,2,78325,92,16,256,7,38933.21
Samsung,0,49465,80,6,512,8,39374.8
OnePlus,6,23099,92,12,512,4,6081.91
Samsung,2,48369,54,8,512,7,16648.27
Apple,4,104482,75,8,256,2,27423.12
Samsung,4,70057,80,12,256,7,18753.2
Samsung,6,28501,51,4,256,9,4537.66
Poco,4,21669,74,12,64,1,4294.3
Google,6,33806,96,8,256,6,4838.1
Apple,1,29481,72,8,64,10,19962.37
Poco,4,118104,53,4,64,4,11810.4
Poco,3,73883,92,4,64,8,17920.22
OnePlus,4,115413,92,6,64,9,19526.1
Google,7,89615,98,12,512,9,9050.01
Realme,6,74396,73,6,512,5,7439.6
Google,2,91113,75,4,512,8,29344.29
OnePlus,7,65931,100,16,512,1,7537.65
Realme,3,65463,82,16,256,6,16273.42
OnePlus,1,109729,87,4,128,5,47978.81
Redmi,3,46006,52,6,128,6,7095.91
Poco,5,65545,82,4,64,5,6554.5
